Comente,Comente_limpo,Tokens_lematizados,Tokens_lematizados_sem_stopwords,Comente_processado_spacy,texto_final_en
Mesma voz do Rodrigo faro,mesma voz do rodrigo faro,"['mesmo', 'voz', 'de o', 'rodrigo', 'Faro']","['voz', 'de o', 'rodrigo', 'Faro']",voz de o rodrigo Faro,Voice of Rodrigo Faro
Parece propaganda de camisinha,parece propaganda de camisinha,"['parecer', 'propaganda', 'de', 'camisinha']","['parecer', 'propaganda', 'camisinha']",parecer propaganda camisinha,Opinion Propaganda condom
@_.vbarroso,vbarroso,['vbarroso'],['vbarroso'],vbarroso,vbarroso
@taislimam_maria muito kkkkk tbm achei,taislimammaria muito kkkkk tbm achei,"['taislimammarir', 'muito', 'kkkkk', 'tbm', 'achar']","['taislimammarir', 'kkkkk', 'tbm', 'achar']",taislimammarir kkkkk tbm achar,Taislimammarir Kkkkk also find
Kkkkk,kkkkk,['kkkkk'],['kkkkk'],kkkkk,hahahaha
"vou proteger de me msm, quando tô bebendo acho q sou rico",vou proteger de me msm quando tô bebendo acho q sou rico,"['ir', 'proteger', 'de', 'eu', 'msm', 'quando', 'tô', 'beber', 'achar', 'q', 'ser', 'rico']","['ir', 'proteger', 'msm', 'tô', 'beber', 'achar', 'q', 'rico']",ir proteger msm tô beber achar q rico,go protect msm I'm drinking to find q rich
@gabriel.20c Achei q fosse kakakakk Vai ver foi a intenção,gabrielc achei q fosse kakakakk vai ver foi a intenção,"['gabrielc', 'achar', 'q', 'ser', 'kakakakk', 'ir', 'ver', 'ser', 'o', 'intenção']","['gabrielc', 'achar', 'q', 'kakakakk', 'ir', 'ver', 'intenção']",gabrielc achar q kakakakk ir ver intenção,gabrielc find q kakakakk go see intention
Eu jurei que era propaganda de camisinha,eu jurei que era propaganda de camisinha,"['eu', 'jurei', 'que', 'ser', 'propaganda', 'de', 'camisinha']","['jurei', 'propaganda', 'camisinha']",jurei propaganda camisinha,swear advertising condom
Foi dois kkkk,foi dois kkkk,"['ser', 'dois', 'kkkk']","['dois', 'kkkk']",dois kkkk,two kkkk
Boa!!,boa,['bom'],['bom'],bom,bom
"Eu depois do 6 corpão, me perguntando pq diabos não está dando pra fzr o Pix pro ambulante",eu depois do corpão me perguntando pq diabos não está dando pra fzr o pix pro ambulante,"['eu', 'depois', 'de o', 'corpão', 'eu', 'perguntar', 'pq', 'diabo', 'não', 'estar', 'dar', 'pra', 'fzr', 'o', 'pix', 'pro', 'ambulante']","['de o', 'corpão', 'perguntar', 'pq', 'diabo', 'dar', 'pra', 'fzr', 'pix', 'pro', 'ambulante']",de o corpão perguntar pq diabo dar pra fzr pix pro ambulante,of the body ask why devil give to fzr pix pro street vendor
véi,véi,['véi'],['véi'],véi,veil
@ricke_cawe três kkkkkkk,rickecawe três kkkkkkk,"['rickecawe', 'três', 'kkkkkkk']","['rickecawe', 'três', 'kkkkkkk']",rickecawe três kkkkkkk,Rickecawe three kkkkkkk
Protegido sem o celular kkkkkk,protegido sem o celular kkkkkk,"['protegir', 'sem', 'o', 'celular', 'kkkkkk']","['protegir', 'celular', 'kkkkkk']",protegir celular kkkkkk,protect kkkkkk
De inferno já basta meu trabalho que se foda o Carnaval,de inferno já basta meu trabalho que se foda o carnaval,"['de', 'inferno', 'já', 'bastar', 'meu', 'trabalho', 'que', 'se', 'fodar', 'o', 'Carnaval']","['inferno', 'bastar', 'trabalho', 'fodar', 'Carnaval']",inferno bastar trabalho fodar Carnaval,hell bastar work fuck carnival
"Não frequentar, e quando encontrar alguém, camisinha. Isso sim é deitar em paz",não frequentar e quando encontrar alguém camisinha isso sim é deitar em paz,"['não', 'frequentar', 'e', 'quando', 'encontrar', 'alguém', 'camisinhar', 'isso', 'sim', 'ser', 'deitar', 'em', 'paz']","['frequentar', 'encontrar', 'alguém', 'camisinhar', 'sim', 'deitar', 'paz']",frequentar encontrar alguém camisinhar sim deitar paz,attend to find someone camp yes to lie down peace
Estou cm minha conta bloqueada se até semana q vem Elis não resolverem vou antes cm um processo,estou cm minha conta bloqueada se até semana q vem elis não resolverem vou antes cm um processo,"['estar', 'cm', 'meu', 'conta', 'bloquear', 'se', 'até', 'semana', 'q', 'vir', 'eli', 'não', 'resolver', 'ir', 'antes', 'cm', 'um', 'processo']","['cm', 'conta', 'bloquear', 'semana', 'q', 'vir', 'eli', 'resolver', 'ir', 'antes', 'cm', 'processo']",cm conta bloquear semana q vir eli resolver ir antes cm processo,cm account BLOCK WEEK q come Eli Solve to go before the process
Se Elis não resolverem meu problema até semana q vem irei entrar cm um processo denizacao contra eles,se elis não resolverem meu problema até semana q vem irei entrar cm um processo denizacao contra eles,"['se', 'eli', 'não', 'resolver', 'meu', 'problema', 'até', 'semana', 'q', 'vir', 'irar', 'entrar', 'cm', 'um', 'processo', 'denizacao', 'contra', 'ele']","['eli', 'resolver', 'problema', 'semana', 'q', 'vir', 'irar', 'entrar', 'cm', 'processo', 'denizacao', 'contra']",eli resolver problema semana q vir irar entrar cm processo denizacao contra,Eli Solve Problem Week q come to come in with process Denização Against
Nice try diddy,nice try diddy,"['nice', 'try', 'diddy']","['nice', 'try', 'diddy']",nice try diddy,nice try diddy
@rafael_ghidelli devo 4 e tão me cobrando 48 kkkkkk e é com 3 zeros,rafaelghidelli devo e tão me cobrando kkkkkk e é com zeros,"['rafaelghidelli', 'dever', 'e', 'tão', 'eu', 'cobrar', 'kkkkkk', 'e', 'ser', 'com', 'zero']","['rafaelghidelli', 'dever', 'tão', 'cobrar', 'kkkkkk', 'zero']",rafaelghidelli dever tão cobrar kkkkkk zero,Rafaelghidelli owes so charge kkkkkk zero
"Meu deus, tu tá a cara do Pablo Marçal 🤦🏻‍♀️",meu deus tu tá a cara do pablo marçal,"['meu', 'de eus', 'tu', 'tá', 'o', 'cara', 'de o', 'pablo', 'marçal']","['de eus', 'tá', 'cara', 'de o', 'pablo', 'marçal']",de eus tá cara de o pablo marçal,Eus is face to Pablo Marçal
@rayssa._.alvees 😂😂😂😂😂,rayssaalvees,['rayssaalvees'],['rayssaalvees'],rayssaalvees,Rayssaalvees
O melhor banco 💜💜💜💜,o melhor banco,"['o', 'bom', 'banco']","['bom', 'banco']",bom banco,good bank
@wellnby_2005 se o nubank te seguisse no insta não te emprestaria nem 1 real.,wellnby se o nubank te seguisse no insta não te emprestaria nem real,"['Wellnby', 'se', 'ele', 'nubankr', 'te', 'seguir', 'em o', 'insta', 'não', 'te', 'emprestaria', 'nem', 'real']","['Wellnby', 'nubankr', 'seguir', 'em o', 'insta', 'emprestaria', 'real']",Wellnby nubankr seguir em o insta emprestaria real,Wellnby Nubankr Follow on O Insta Business Royal
Recomendo que os bancos não me permitam abrir contas neles 😘,recomendo que os bancos não me permitam abrir contas neles,"['recomendar', 'que', 'o', 'banco', 'não', 'eu', 'permitir', 'abrir', 'conta', 'em ele']","['recomendar', 'banco', 'permitir', 'abrir', 'conta', 'em ele']",recomendar banco permitir abrir conta em ele,Recommend Bank Allow to open an account in it
"Vou Sair fora. Pq o governo está querendo impor um monte de regras ao Nubank, até troca de nome. App muito bom, porém, perigo da gente perder nosso dinheiro.",vou sair fora pq o governo está querendo impor um monte de regras ao nubank até troca de nome app muito bom porém perigo da gente perder nosso dinheiro,"['ir', 'sair', 'fora', 'pq', 'o', 'governo', 'estar', 'querer', 'impor', 'um', 'monte', 'de', 'regra', 'a o', 'nubank', 'até', 'troca', 'de', 'nome', 'app', 'muito', 'bom', 'porém', 'perigo', 'de o', 'gente', 'perder', 'nosso', 'dinheiro']","['ir', 'sair', 'pq', 'governo', 'querer', 'impor', 'monte', 'regra', 'a o', 'nubank', 'troca', 'nome', 'app', 'bom', 'porém', 'perigo', 'de o', 'gente', 'perder', 'dinheiro']",ir sair pq governo querer impor monte regra a o nubank troca nome app bom porém perigo de o gente perder dinheiro,go out because government want to impose a rule on Nubank exchanges name app good but danger for people to lose money
Amo o nubank 💜,amo o nubank,"['amar', 'o', 'nubankr']","['amar', 'nubankr']",amar nubankr,LOVE NUBANKR
Já mostrando que a nubank não é mais segura tendo que ativar o modo rua a empresa devia cumprir com o que fala pq mesmo não estando na rua já houve roubo em minha família acho que a segurança devia ser maior,já mostrando que a nubank não é mais segura tendo que ativar o modo rua a empresa devia cumprir com o que fala pq mesmo não estando na rua já houve roubo em minha família acho que a segurança devia ser maior,"['já', 'mostrar', 'que', 'o', 'nubank', 'não', 'ser', 'mais', 'seguro', 'ter', 'que', 'ativar', 'o', 'modo', 'rua', 'o', 'empresa', 'dever', 'cumprir', 'com', 'o', 'que', 'falar', 'pq', 'mesmo', 'não', 'estar', 'em o', 'rua', 'já', 'haver', 'roubo', 'em', 'meu', 'família', 'achar', 'que', 'o', 'segurança', 'dever', 'ser', 'grande']","['mostrar', 'nubank', 'seguro', 'ter', 'ativar', 'modo', 'rua', 'empresa', 'dever', 'cumprir', 'falar', 'pq', 'em o', 'rua', 'roubo', 'família', 'achar', 'segurança', 'dever', 'grande']",mostrar nubank seguro ter ativar modo rua empresa dever cumprir falar pq em o rua roubo família achar segurança dever grande,Show Nubank Seguro have activate mode street company must fulfill talk because in the street theft family find security duty
Interessante,interessante,['interessante'],['interessante'],interessante,interesting
Que linha de ônibus diferente,que linha de ônibus diferente,"['que', 'linha', 'de', 'ônibus', 'diferente']","['linha', 'ônibus', 'diferente']",linha ônibus diferente,Different Bus line
"Colgate total 12 , 12 horas de proteção 😎👍🏻",colgate total horas de proteção,"['colgate', 'total', 'hora', 'de', 'proteção']","['colgate', 'total', 'hora', 'proteção']",colgate total hora proteção,Colgate Total Hour Protection
"@brunorpires moço, pergunta real: c tá ligado que ele não tá falando de linha de ônibus?",brunorpires moço pergunta real c tá ligado que ele não tá falando de linha de ônibus,"['brunorpir', 'moço', 'perguntar', 'real', 'c', 'tá', 'ligar', 'que', 'ele', 'não', 'tá', 'falar', 'de', 'linha', 'de', 'ônibus']","['brunorpir', 'moço', 'perguntar', 'real', 'c', 'tá', 'ligar', 'tá', 'falar', 'linha', 'ônibus']",brunorpir moço perguntar real c tá ligar tá falar linha ônibus,brunorpiri boy ask real C It's calling ok
"Sei, mas esses números aí tá igual liga de ônibus 🤣🤣🤣",sei mas esses números aí tá igual liga de ônibus,"['saber', 'mas', 'esse', 'número', 'aí', 'tá', 'igual', 'liga', 'de', 'ônibus']","['saber', 'número', 'aí', 'tá', 'igual', 'liga', 'ônibus']",saber número aí tá igual liga ônibus,Know number there is equal on bus
"@camilaah_alvees melhor pedir pelo suporte, pedindo pelo aplicativo as vezes dá errado e não esquece de atualizar o endereço 😅",camilaahalvees melhor pedir pelo suporte pedindo pelo aplicativo as vezes dá errado e não esquece de atualizar o endereço,"['camilaahalvees', 'melhor', 'pedir', 'por o', 'suporte', 'pedir', 'por o', 'aplicativo', 'o', 'vez', 'dar', 'errar', 'e', 'não', 'esquecer', 'de', 'atualizar', 'o', 'endereço']","['camilaahalvees', 'melhor', 'pedir', 'por o', 'suporte', 'pedir', 'por o', 'aplicativo', 'vez', 'dar', 'errar', 'esquecer', 'atualizar', 'endereço']",camilaahalvees melhor pedir por o suporte pedir por o aplicativo vez dar errar esquecer atualizar endereço,Camilaahalvees better ask for the support to ask for the app since it makes mistakes to forget to update address
"Que shoooow. Gusta, tu tens que postar o making of dessa cena",que shoooow gusta tu tens que postar o making of dessa cena,"['que', 'shoooow', 'gusta', 'tu', 'tem', 'que', 'postar', 'o', 'making', 'of', 'de esse', 'cena']","['shoooow', 'gusta', 'postar', 'making', 'of', 'de esse', 'cena']",shoooow gusta postar making of de esse cena,Shoooow Gusta Post Making of this scene
Só eu que pensei outra coisa??😂,só eu que pensei outra coisa,"['só', 'eu', 'que', 'pensar', 'outro', 'coisa']","['pensar', 'outro', 'coisa']",pensar outro coisa,think another thing
"Proteção é 99,9% do meu patrimônio, na Block Chain",proteção é do meu patrimônio na block chain,"['proteção', 'ser', 'de o', 'meu', 'patrimônio', 'em o', 'block', 'chain']","['proteção', 'de o', 'patrimônio', 'em o', 'block', 'chain']",proteção de o patrimônio em o block chain,Protection of O Heritage in O Block Chain
É só não ir pro Carnaval ... Duvido você gastar sem esta lá ...,é só não ir pro carnaval duvido você gastar sem esta lá,"['ser', 'só', 'não', 'ir', 'pro', 'Carnaval', 'duvir', 'você', 'gastar', 'sem', 'este', 'lá']","['ir', 'pro', 'Carnaval', 'duvir', 'gastar', 'lá']",ir pro Carnaval duvir gastar lá,go to Carnival Duvir spend there
@souzx.088 sim,souzx sim,"['souzx', 'sim']","['souzx', 'sim']",souzx sim,souzx sim
Daria um ótimo comercial de camisinha,daria um ótimo comercial de camisinha,"['dar', 'um', 'bom', 'comercial', 'de', 'camisinha']","['dar', 'bom', 'comercial', 'camisinha']",dar bom comercial camisinha,GIVE BOM COMMERCIAL CAMISINHA
"Alô @nubank baixem os juros do crédito para empréstimos, vocês conseguirão muito mais clientes e com certeza conseguem ajudar um número grande de pessoas",alô nubank baixem os juros do crédito para empréstimos vocês conseguirão muito mais clientes e com certeza conseguem ajudar um número grande de pessoas,"['alô', 'nubank', 'baixem', 'o', 'juro', 'de o', 'crédito', 'para', 'empréstimo', 'você', 'conseguir', 'muito', 'mais', 'cliente', 'e', 'com', 'certeza', 'conseguir', 'ajudar', 'um', 'número', 'grande', 'de', 'pessoa']","['alô', 'nubank', 'baixem', 'juro', 'de o', 'crédito', 'empréstimo', 'conseguir', 'cliente', 'certeza', 'conseguir', 'ajudar', 'número', 'grande', 'pessoa']",alô nubank baixem juro de o crédito empréstimo conseguir cliente certeza conseguir ajudar número grande pessoa,Hello Nubank Download the loan credit to get customer sure to help large number
E o programa de pontos? Sai quando 😊,e o programa de pontos sai quando,"['e', 'o', 'programa', 'de', 'ponto', 'sair', 'quando']","['programa', 'ponto', 'sair']",programa ponto sair,Point Program
@camilaah_alvees avemaria kkkkkk tentou procurar no correio? As vezes vai pra lá qnd n chega até o endereço,camilaahalvees avemaria kkkkkk tentou procurar no correio as vezes vai pra lá qnd n chega até o endereço,"['camilaahalvees', 'avemario', 'kkkkkk', 'tentar', 'procurar', 'em o', 'correio', 'o', 'vez', 'ir', 'pra', 'lá', 'qnd', 'n', 'chegar', 'até', 'o', 'endereço']","['camilaahalvees', 'avemario', 'kkkkkk', 'tentar', 'procurar', 'em o', 'correio', 'vez', 'ir', 'pra', 'lá', 'qnd', 'n', 'chegar', 'endereço']",camilaahalvees avemario kkkkkk tentar procurar em o correio vez ir pra lá qnd n chegar endereço,camilaahalvees avemario kkkkkk try to look in the mail instead go there qnd no address
O cara no futuro com fone de fio kkkkkkkk,o cara no futuro com fone de fio kkkkkkkk,"['o', 'cara', 'em o', 'futuro', 'com', 'fone', 'de', 'fio', 'kkkkkkkk']","['cara', 'em o', 'futuro', 'fone', 'fio', 'kkkkkkkk']",cara em o futuro fone fio kkkkkkkk,FACE IN THE FUTURE DIRECK KKKKKKKK
@taislimam_maria nossa eu pensei a mesma coisa kkkkk,taislimammaria nossa eu pensei a mesma coisa kkkkk,"['taislimammario', 'nosso', 'eu', 'pensar', 'o', 'mesmo', 'coisa', 'kkkkk']","['taislimammario', 'pensar', 'coisa', 'kkkkk']",taislimammario pensar coisa kkkkk,Talimammario Think Kkkkk
Ul,ul,['ul'],['ul'],ul,ul
@matheus.alves.b futurista raiz 😂😂😂,matheusalvesb futurista raiz,"['matheusalvesb', 'futurista', 'raiz']","['matheusalvesb', 'futurista', 'raiz']",matheusalvesb futurista raiz,MATHEUSALVESB futuristic
1 real pode modo protegido,real pode modo protegido,"['Real', 'poder', 'modo', 'protegido']","['Real', 'poder', 'modo', 'protegido']",Real poder modo protegido,Real protected mode
Aí vc tenta no aplicativo fazer isso e está escondido 😅🤣👏👏👏,aí vc tenta no aplicativo fazer isso e está escondido,"['aí', 'vc', 'tentar', 'em o', 'aplicativo', 'fazer', 'isso', 'e', 'estar', 'escondido']","['aí', 'vc', 'tentar', 'em o', 'aplicativo', 'fazer', 'escondido']",aí vc tentar em o aplicativo fazer escondido,Then you try the application to hide
@lilica_np pediu*,lilicanp pediu,"['lilicanp', 'pedir']","['lilicanp', 'pedir']",lilicanp pedir,LILICANP REQUEST
O aplicativo  tá horrível  dando erro o tempo todo,o aplicativo tá horrível dando erro o tempo todo,"['o', 'aplicativo', 'tá', 'horrível', 'dar', 'erro', 'o', 'tempo', 'todo']","['aplicativo', 'tá', 'horrível', 'dar', 'erro', 'tempo', 'todo']",aplicativo tá horrível dar erro tempo todo,app is horrible to give error all the time
Incrível,incrível,['incrível'],['incrível'],incrível,incredible
"Paga a minha fatura, Nubank🙌🏾",paga a minha fatura nubank,"['pagar', 'o', 'meu', 'fatura', 'nubankr']","['pagar', 'fatura', 'nubankr']",pagar fatura nubankr,Pay Nubankr Invoice
Ele podia gravar com o brino ksksksks,ele podia gravar com o brino ksksksks,"['ele', 'poder', 'gravar', 'com', 'o', 'brino', 'ksksksks']","['poder', 'gravar', 'brino', 'ksksksks']",poder gravar brino ksksksks,Being able to record brono ksksksks
Boa kkk eu amo o Nubank só pq ele é roxinho 💜💜💜☺️,boa kkk eu amo o nubank só pq ele é roxinho,"['bom', 'kkk', 'eu', 'amar', 'o', 'nubank', 'só', 'pq', 'ele', 'ser', 'roxinho']","['bom', 'kkk', 'amar', 'nubank', 'pq', 'roxinho']",bom kkk amar nubank pq roxinho,good kkk love nubank because purple
